"id_location","x","y"
1,10,5
2,40,13
3,10,5
4,NULL,NULL
5,NULL,NULL
6,NULL,NULL
7,NULL,NULL
8,NULL,NULL
9,NULL,NULL
10,NULL,NULL
11,NULL,NULL
12,NULL,NULL
13,NULL,NULL
14,NULL,NULL
15,NULL,NULL
16,NULL,NULL
17,NULL,NULL
18,NULL,NULL
19,NULL,NULL
20,NULL,NULL
21,NULL,NULL
22,NULL,NULL
23,NULL,NULL
24,NULL,NULL
25,NULL,NULL
26,NULL,NULL
27,NULL,NULL
28,NULL,NULL
29,NULL,NULL
30,NULL,NULL
31,NULL,NULL
32,NULL,NULL
33,NULL,NULL
34,NULL,NULL
35,NULL,NULL
36,NULL,NULL
37,NULL,NULL
38,NULL,NULL
39,NULL,NULL
40,NULL,NULL
41,NULL,NULL
42,NULL,NULL
43,NULL,NULL
44,NULL,NULL
45,NULL,NULL
46,NULL,NULL
47,NULL,NULL
48,NULL,NULL
49,NULL,NULL
50,NULL,NULL
51,NULL,NULL
52,NULL,NULL
53,NULL,NULL
54,NULL,NULL
55,NULL,NULL
56,NULL,NULL
57,NULL,NULL
58,NULL,NULL
59,NULL,NULL
60,NULL,NULL
61,NULL,NULL
62,NULL,NULL
63,NULL,NULL
64,NULL,NULL
65,NULL,NULL
66,NULL,NULL
67,NULL,NULL
68,NULL,NULL
69,NULL,NULL
70,NULL,NULL
71,NULL,NULL
72,NULL,NULL
73,NULL,NULL
74,NULL,NULL
75,NULL,NULL
76,NULL,NULL
77,NULL,NULL
78,NULL,NULL
79,NULL,NULL
80,NULL,NULL
81,NULL,NULL
82,NULL,NULL
83,NULL,NULL
84,NULL,NULL
85,NULL,NULL
86,NULL,NULL
87,NULL,NULL
88,NULL,NULL
89,NULL,NULL
90,NULL,NULL
91,NULL,NULL
92,NULL,NULL
93,NULL,NULL
94,NULL,NULL
95,NULL,NULL
96,NULL,NULL
97,NULL,NULL
98,NULL,NULL
99,NULL,NULL
100,NULL,NULL
101,NULL,NULL
102,NULL,NULL
103,NULL,NULL
104,NULL,NULL
105,NULL,NULL
106,NULL,NULL
107,NULL,NULL
108,NULL,NULL
109,NULL,NULL
110,NULL,NULL
111,NULL,NULL
112,NULL,NULL
113,NULL,NULL
114,NULL,NULL
115,NULL,NULL
116,NULL,NULL
117,NULL,NULL
118,NULL,NULL
119,NULL,NULL
120,NULL,NULL
121,NULL,NULL
122,NULL,NULL
123,NULL,NULL
124,NULL,NULL
125,NULL,NULL
126,NULL,NULL
127,NULL,NULL
128,NULL,NULL
129,NULL,NULL
130,NULL,NULL
131,NULL,NULL
132,NULL,NULL
133,NULL,NULL
134,NULL,NULL
135,NULL,NULL
136,NULL,NULL
137,NULL,NULL
138,NULL,NULL
139,NULL,NULL
140,NULL,NULL
141,NULL,NULL
142,NULL,NULL
143,NULL,NULL
144,NULL,NULL
145,NULL,NULL
146,NULL,NULL
147,NULL,NULL
148,NULL,NULL
149,NULL,NULL
150,NULL,NULL
151,NULL,NULL
152,NULL,NULL
153,NULL,NULL
154,NULL,NULL
155,NULL,NULL
156,NULL,NULL
157,NULL,NULL
158,NULL,NULL
159,NULL,NULL
160,NULL,NULL
161,NULL,NULL
162,NULL,NULL
163,NULL,NULL
164,NULL,NULL
165,NULL,NULL
166,NULL,NULL
167,NULL,NULL
168,NULL,NULL
169,NULL,NULL
170,NULL,NULL
171,NULL,NULL
172,NULL,NULL
173,NULL,NULL
174,NULL,NULL
175,NULL,NULL
176,NULL,NULL
177,NULL,NULL
178,NULL,NULL
179,NULL,NULL
180,NULL,NULL
181,NULL,NULL
182,NULL,NULL
183,NULL,NULL
184,NULL,NULL
185,NULL,NULL
186,NULL,NULL
187,NULL,NULL
188,NULL,NULL
189,NULL,NULL
190,NULL,NULL
191,NULL,NULL
192,NULL,NULL
193,NULL,NULL
194,NULL,NULL
195,NULL,NULL
196,NULL,NULL
197,NULL,NULL
198,NULL,NULL
199,NULL,NULL
200,NULL,NULL
